fighter_slug,fighter_name,order,result,opponent,promotion,event,event_date,method,round,time
/fighter/Aaron-Jeffery-127631,Aaron Jeffery,0,win,Joshua Silveira,Professional Fighters League,PFL Charlotte: Battle vs. Rosta,2026-08-07,Decision (Unanimous),3,5:00
/fighter/Aaron-Jeffery-127631,Aaron Jeffery,1,loss,Dalton Rosta,Professional Fighters League,2025 PFL World Tournament 7: Semifinals,2025-06-27,Decision (Split),3,5:00
/fighter/Aaron-Jeffery-127631,Aaron Jeffery,2,win,Murad Ramazanov,Professional Fighters League,2025 PFL World Tournament 3: First Round,2025-04-18,Decision (Split),3,5:00
/fighter/Aaron-Jeffery-127631,Aaron Jeffery,3,win,Douglas Lima,Bellator Champions Series San Diego,Nurmagomedov vs. Shabliy,2024-09-07,Decision (Unanimous),3,5:00
/fighter/Aaron-Jeffery-127631,Aaron Jeffery,4,loss,Fabian Edwards,Bellator Champions Series Belfast,Anderson vs. Moore,2024-03-22,Decision (Unanimous),3,5:00
/fighter/Aaron-Jeffery-127631,Aaron Jeffery,5,win,Dalton Rosta,Bellator 298,Storley vs. Ward,2023-08-11,Decision (Unanimous),3,5:00
/fighter/Aaron-Jeffery-127631,Aaron Jeffery,6,loss,John Salter,Bellator 293,Golm vs. James,2023-03-31,Decision (Unanimous),3,5:00
/fighter/Aaron-Jeffery-127631,Aaron Jeffery,7,win,Austin Vanderford,Bellator 284,Gracie vs. Yamauchi,2022-08-12,TKO (Punches),1,1:25
/fighter/Aaron-Jeffery-127631,Aaron Jeffery,8,win,Fabio Aguiar,Bellator 282,Mousasi vs. Eblen,2022-06-24,TKO (Knee and Punches),2,3:30
/fighter/Aaron-Jeffery-127631,Aaron Jeffery,9,win,Rex Harris,CFFC 105,Cage Fury Fighting Championships 105,2022-01-29,Decision (Unanimous),4,5:00
/fighter/Aaron-Jeffery-127631,Aaron Jeffery,10,loss,Caio Borralho,Dana White's Contender Series,Contender Series 2021: Week 5,2021-09-28,Decision (Unanimous),3,5:00
/fighter/Aaron-Jeffery-127631,Aaron Jeffery,11,win,Collin Huckbody,CFFC 93,Cage Fury Fighting Championships 93,2021-03-12,Decision (Unanimous),4,5:00
/fighter/Aaron-Jeffery-127631,Aaron Jeffery,12,win,Andre Petroski,LFA 93,Petroski vs. Jeffery,2020-10-16,TKO (Knees and Punches),2,4:19
/fighter/Aaron-Jeffery-127631,Aaron Jeffery,13,win,Bruno Assis,SFT 23,Jesus vs. Cachorro,2020-08-13,TKO (Punches),3,1:26
/fighter/Aaron-Jeffery-127631,Aaron Jeffery,14,win,Dennis Olson,Combat Zone 71,Prevail,2019-08-23,TKO (Corner Stoppage),2,1:43
/fighter/Aaron-Jeffery-127631,Aaron Jeffery,15,loss,Brendan Allen,Dana White's Contender Series,"Season 3, Episode 4",2019-07-16,Submission (Rear-Naked Choke),1,3:23
/fighter/Aaron-Jeffery-127631,Aaron Jeffery,16,win,Jonathan Vallee,BTC 5,Typhoon,2019-03-09,TKO (Knees),4,3:00
/fighter/Aaron-Jeffery-127631,Aaron Jeffery,17,win,Alex Beaule,BTC 3,Prophecy,2018-06-23,KO (Punches),3,0:44
/fighter/Aaron-Jeffery-127631,Aaron Jeffery,18,win,Chad Kelly,Honor FC 3,Operation Shockwave,2018-03-31,Decision (Unanimous),3,5:00
/fighter/Aaron-Jeffery-127631,Aaron Jeffery,19,win,T.J. Sumler,KOTC,Extreme Horsepower,2016-03-12,TKO (Doctor Stoppage),1,5:00
/fighter/Aaron-Jeffery-127631,Aaron Jeffery,20,loss,Sean Brady,CFFC 53,Spohn vs. Anyanwu,2015-12-04,Decision (Unanimous),3,5:00
/fighter/Aaron-Jeffery-127631,Aaron Jeffery,21,win,Dave Lastafka,NAAFS,Caged Vengeance 16,2015-03-07,KO (Punches),2,3:13
/fighter/Aaron-Jeffery-127631,Aaron Jeffery,22,win,Matt Anderson,OFC 22,Hilliard vs. Cook,2014-10-11,Submission (Triangle Choke),1,1:45
/fighter/Aaron-Jeffery-127631,Aaron Jeffery,0,win,Dann Cucuta,Gladiators of the Cage,The Road to Glory 7,2014-07-19,Decision (Unanimous),3,3:00
/fighter/Aaron-Jeffery-127631,Aaron Jeffery,1,win,Stephen Schlater,Alpha One Sports,IT Fight Series 21,2013-08-15,Decision (Unanimous),3,3:00
